Query,Response,language,intent
Library,"There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>",en,library
Library information,"There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>",en,library
Library books information,"There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>",en,library
Tell me about library,"There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>",en,library
how many libraries,"There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>",en,library
how is college infrastructure,Our University has Excellent Infrastructure. Campus is clean. Good IT Labs With Good Speed of Internet connection,en,infrastructure
infrastructure,Our University has Excellent Infrastructure. Campus is clean. Good IT Labs With Good Speed of Internet connection,en,infrastructure
college infrastructure,Our University has Excellent Infrastructure. Campus is clean. Good IT Labs With Good Speed of Internet connection,en,infrastructure
food facilities,Our university has canteen with variety of food available,en,canteen
canteen facilities,Our university has canteen with variety of food available,en,canteen
canteen facility,Our university has canteen with variety of food available,en,canteen
is there any canteen,Our university has canteen with variety of food available,en,canteen
Is there a cafetaria in college,Our university has canteen with variety of food available,en,canteen
Does college have canteen,Our university has canteen with variety of food available,en,canteen
Where is canteen,Our university has canteen with variety of food available,en,canteen
where is cafetaria,Our university has canteen with variety of food available,en,canteen
canteen,Our university has canteen with variety of food available,en,canteen
Food,Our university has canteen with variety of food available,en,canteen
Cafetaria,Our university has canteen with variety of food available,en,canteen
food menu,"we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu",en,menu
food in canteen,"we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu",en,menu
Whats there on menu,"we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu",en,menu
what is available in college canteen,"we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu",en,menu
what foods can we get in college canteen,"we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu",en,menu
food variety,"we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu",en,menu
What is there to eat?,"we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu",en,menu
What is college placement,"To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>",en,placement
Which companies visit in college,"To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>",en,placement
What is average package,"To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>",en,placement
companies visit,"To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>",en,placement
package,"To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>",en,placement
About placement,"To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>",en,placement
placement,"To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>",en,placement
recruitment,"To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>",en,placement
companies,"To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>",en,placement
Who is HOD,All engineering departments have only one hod XYZ who available on (Place name),en,ithod
Where is HOD,All engineering departments have only one hod XYZ who available on (Place name),en,ithod
it hod,All engineering departments have only one hod XYZ who available on (Place name),en,ithod
name of it hod,All engineering departments have only one hod XYZ who available on (Place name),en,ithod
Who is computer HOD,All engineering departments have only one hod XYZ who available on (PLACE NAME),en,computerhod
Where is computer HOD,All engineering departments have only one hod XYZ who available on (PLACE NAME),en,computerhod
computer hod,All engineering departments have only one hod XYZ who available on (PLACE NAME),en,computerhod
name of computer hod,All engineering departments have only one hod XYZ who available on (PLACE NAME),en,computerhod
Who is extc HOD,Different school wise hod are different.So be more clear with your school or department,en,extchod
Where is  extc HOD,Different school wise hod are different.So be more clear with your school or department,en,extchod
extc hod,Different school wise hod are different.So be more clear with your school or department,en,extchod
name of extc hod,Different school wise hod are different.So be more clear with your school or department,en,extchod
what is the name of principal,XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate,en,principal
whatv is the principal name,XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate,en,principal
principal name,XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate,en,principal
Who is college principal,XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate,en,principal
Where is principal's office,XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate,en,principal
principal,XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate,en,principal
name of principal,XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate,en,principal
exam dates,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",en,sem
exam schedule,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",en,sem
When is semester exam,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",en,sem
Semester exam timetable,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",en,sem
sem,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",en,sem
semester,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",en,sem
exam,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",en,sem
when is exam,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",en,sem
exam timetable,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",en,sem
exam dates,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",en,sem
when is semester,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",en,sem
what is the process of admission,"Application can also be submitted online through the Unversity's  <a target=""_blank"" href=""LINK OF ADMISSION DOCUMENT"">website</a>",en,admission
what is the admission process,"Application can also be submitted online through the Unversity's  <a target=""_blank"" href=""LINK OF ADMISSION DOCUMENT"">website</a>",en,admission
How to take admission in your college,"Application can also be submitted online through the Unversity's  <a target=""_blank"" href=""LINK OF ADMISSION DOCUMENT"">website</a>",en,admission
What is the process for admission,"Application can also be submitted online through the Unversity's  <a target=""_blank"" href=""LINK OF ADMISSION DOCUMENT"">website</a>",en,admission
admission,"Application can also be submitted online through the Unversity's  <a target=""_blank"" href=""LINK OF ADMISSION DOCUMENT"">website</a>",en,admission
admission process,"Application can also be submitted online through the Unversity's  <a target=""_blank"" href=""LINK OF ADMISSION DOCUMENT"">website</a>",en,admission
scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
Is scholarship available,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
scholarship engineering,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
scholarship it,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
scholarship ce,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
scholarship mechanical,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
scholarship civil,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
scholarship chemical,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
scholarship for AI/ML,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
available scholarships,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
scholarship for computer engineering,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
scholarship for IT engineering,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
scholarship for mechanical engineering,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
scholarship for civil engineering,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
scholarship for chemical engineering,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
list of scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
comps scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
IT scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
mechanical scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
civil scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
chemical scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
automobile scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
first year scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
second year scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
third year scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
fourth year scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
What facilities college provide,"Our university's Engineering department provides fully AC Lab with internet connection, smart classroom, Auditorium, library,canteen",en,facilities
College facility,"Our university's Engineering department provides fully AC Lab with internet connection, smart classroom, Auditorium, library,canteen",en,facilities
What are college facilities,"Our university's Engineering department provides fully AC Lab with internet connection, smart classroom, Auditorium, library,canteen",en,facilities
facilities,"Our university's Engineering department provides fully AC Lab with internet connection, smart classroom, Auditorium, library,canteen",en,facilities
facilities provided,"Our university's Engineering department provides fully AC Lab with internet connection, smart classroom, Auditorium, library,canteen",en,facilities
max number of students,"For IT, Computer and extc 60 per branch and seat may be differ for different department.",en,college intake
number of seats per branch,"For IT, Computer and extc 60 per branch and seat may be differ for different department.",en,college intake
number of seats in each branch,"For IT, Computer and extc 60 per branch and seat may be differ for different department.",en,college intake
maximum number of seats,"For IT, Computer and extc 60 per branch and seat may be differ for different department.",en,college intake
maximum students intake,"For IT, Computer and extc 60 per branch and seat may be differ for different department.",en,college intake
What is college intake,"For IT, Computer and extc 60 per branch and seat may be differ for different department.",en,college intake
how many stundent are taken in each branch,"For IT, Computer and extc 60 per branch and seat may be differ for different department.",en,college intake
seat allotment,"For IT, Computer and extc 60 per branch and seat may be differ for different department.",en,college intake
seats,"For IT, Computer and extc 60 per branch and seat may be differ for different department.",en,college intake
college dress code,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER,en,uniform
college dresscode,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER,en,uniform
what is the uniform,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER,en,uniform
can we wear casuals,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER,en,uniform
Does college have an uniform,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER,en,uniform
Is there any uniform,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER,en,uniform
uniform,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER,en,uniform
what about uniform,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER,en,uniform
do we have to wear uniform,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER,en,uniform
what are the different committe in college,For the various committe in college contact this number: ADD NUMBER,en,committee
different committee in college,For the various committe in college contact this number: ADD NUMBER,en,committee
Are there any committee in college,For the various committe in college contact this number: ADD NUMBER,en,committee
Give me committee details,For the various committe in college contact this number: ADD NUMBER,en,committee
committee,For the various committe in college contact this number: ADD NUMBER,en,committee
how many committee are there in college,For the various committe in college contact this number: ADD NUMBER,en,committee
I love you,"I am not program for this, please ask appropriate query",en,random
Will you marry me,"I am not program for this, please ask appropriate query",en,random
Do you love me,"I am not program for this, please ask appropriate query",en,random
fuck,please use appropriate language,en,swear
bitch,please use appropriate language,en,swear
shut up,please use appropriate language,en,swear
hell,please use appropriate language,en,swear
stupid,please use appropriate language,en,swear
idiot,please use appropriate language,en,swear
dumb ass,please use appropriate language,en,swear
asshole,please use appropriate language,en,swear
fucker,please use appropriate language,en,swear
holidays,Academic calender is given to you by your class-soordinators after you join your respective classes,en,vacation
when will semester starts,Academic calender is given to you by your class-soordinators after you join your respective classes,en,vacation
when will semester end,Academic calender is given to you by your class-soordinators after you join your respective classes,en,vacation
when is the holidays,Academic calender is given to you by your class-soordinators after you join your respective classes,en,vacation
list of holidays,Academic calender is given to you by your class-soordinators after you join your respective classes,en,vacation
Holiday in these year,Academic calender is given to you by your class-soordinators after you join your respective classes,en,vacation
holiday list,Academic calender is given to you by your class-soordinators after you join your respective classes,en,vacation
about vacations,Academic calender is given to you by your class-soordinators after you join your respective classes,en,vacation
about holidays,Academic calender is given to you by your class-soordinators after you join your respective classes,en,vacation
When is vacation,Academic calender is given to you by your class-soordinators after you join your respective classes,en,vacation
When is holidays,Academic calender is given to you by your class-soordinators after you join your respective classes,en,vacation
how long will be the vacation,Academic calender is given to you by your class-soordinators after you join your respective classes,en,vacation
sports and games,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>",en,sports
give sports details,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>",en,sports
sports infrastructure,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>",en,sports
sports facilities,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>",en,sports
information about sports,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>",en,sports
Sports activities,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>",en,sports
please provide sports and games information,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>",en,sports
okk,I am glad I helped you,en,salutaion
okie,I am glad I helped you,en,salutaion
nice work,I am glad I helped you,en,salutaion
well done,I am glad I helped you,en,salutaion
good job,I am glad I helped you,en,salutaion
thanks for the help,I am glad I helped you,en,salutaion
Thank You,I am glad I helped you,en,salutaion
its ok,I am glad I helped you,en,salutaion
Thanks,I am glad I helped you,en,salutaion
Good work,I am glad I helped you,en,salutaion
k,I am glad I helped you,en,salutaion
ok,I am glad I helped you,en,salutaion
okay,I am glad I helped you,en,salutaion
what can you do,I can answer to low-intermediate questions regarding college,en,task
what are the thing you can do,I can answer to low-intermediate questions regarding college,en,task
things you can do,I can answer to low-intermediate questions regarding college,en,task
what can u do for me,I can answer to low-intermediate questions regarding college,en,task
how u can help me,I can answer to low-intermediate questions regarding college,en,task
why i should use you,I can answer to low-intermediate questions regarding college,en,task
ragging,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging",en,ragging
is ragging practice active in college,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging",en,ragging
does college have any antiragging facility,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging",en,ragging
is there any ragging cases,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging",en,ragging
is ragging done here,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging",en,ragging
ragging against,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging",en,ragging
antiragging facility,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging",en,ragging
ragging juniors,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging",en,ragging
ragging history,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging",en,ragging
ragging incidents,"We are Proud to tell you that our college provides ragging free environment, and we have strict rules against ragging",en,ragging
hod,"HODs differ for each branch, please be more specific like: (HOD it)",en,hod
hod name,"HODs differ for each branch, please be more specific like: (HOD it)",en,hod
who is the hod,"HODs differ for each branch, please be more specific like: (HOD it)",en,hod
